,Product name,Price,Review out of 5
100,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4.4
101,"realme P4 Pro 5G (Birch Wood, 256 GB)","₹26,999",4.4
102,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹39,999",4.5
103,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,249",4.2
104,"realme P4 Pro 5G (Midnight Ivy, 128 GB)","₹24,999",4.4
105,"realme P3 Pro 5G (Nebula Glow, 256 GB)","₹22,999",4.4
106,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4.2
107,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",4.4
108,"realme P3 Pro 5G (Galaxy Purple, 256 GB)","₹20,999",4.4
109,"realme P3 Pro 5G (Nebula Glow, 128 GB)","₹20,999",4.4
110,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹44,999",4.6
111,"realme Narzo 80x 5G (Sunlit Gold, 128 GB)","₹13,426",4.2
112,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,08,990",4.7
113,"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3
114,"realme P3 Pro 5G (Saturn Brown, 128 GB)","₹20,999",4.4
115,"realme C85 5G (Peacock Green, 128.0 GB)","₹15,499",4.6
116,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,999",4.2
117,"Samsung Galaxy S25 Plus 5G (Silver Shadow, 256 GB)","₹75,999",4.7
118,"realme P3 5G (Comet Grey, 128 GB)","₹16,999",4.4
119,"realme P3 5G (Space Silver, 128 GB)","₹16,999",4.4
120,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",4.6
121,"realme 14 Pro Lite 5G (Glass Purple, 128 GB)","₹21,999",4.3
122,"Samsung Galaxy F07 (Green, 64 GB)","₹7,499",4.3
123,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4.4
124,"realme C73 5G (Crystal Purple, 128 GB)","₹12,999",4.2
125,"realme P3 Pro 5G (Saturn Brown, 256 GB)","₹20,999",4.4
126,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹39,999",4.5
127,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,249",4.2
128,"realme Narzo 80x 5G (Deep Ocean, 128 GB)","₹13,979",4.2
